0.034830	0.145125	1
1.534708	1.876680	3
3.111119	3.361343	5
4.083810	4.318912	7
5.282540	5.546667	9
6.042993	6.501587	11
7.685805	7.900590	13
9.105125	9.357642	15
10.094875	10.382222	17
12.129524	12.759365	19
15.429660	15.952109	21
17.496236	18.625306	23
20.819592	21.855782	25
23.388299	23.980408	27
26.760998	27.341497	29
29.442902	29.945034	31
32.127710	33.172608	33
35.924172	38.042993	35
38.905034	39.169161	37
40.362086	40.602993	39
42.065850	42.538957	41
43.490975	43.920544	43
45.220862	45.827483	45
47.040726	47.281633	47
47.989841	48.256871	49
50.114467	50.738503	51
53.562630	54.099592	53
55.666939	56.737959	55
58.845170	59.910385	57
61.471927	62.061134	59
64.882358	65.462857	61
67.572971	68.051882	63
70.280998	71.337506	65
74.077460	76.161451	67
77.046712	77.322449	69
78.262857	78.521179	71
79.505125	79.763447	73
80.480363	80.718367	75
81.432381	81.676190	77
82.892336	83.144853	79
84.308753	84.549660	81
85.521995	85.745488	83
86.514649	87.069025	85
89.852517	90.430113	87
92.525714	93.024943	89
95.265669	96.301859	91
98.110113	98.345215	93
101.401542	101.656961	95
102.431927	102.675737	97
104.002177	104.417234	99
105.993288	106.518639	101
107.847982	108.077279	103
108.776780	109.029297	105
110.474739	111.017506	107
112.654512	113.815510	109
116.137506	117.246259	111
118.732336	119.292517	113
122.105034	122.711655	115
124.078730  124.357370  117
124.357370	125.027846	119
