0.655964	1.167712	2
2.101882	2.644034	4
3.601995	3.845805	6
4.571429	5.041633	8
5.781769	5.915283	10
7.305578	7.436190	12
8.402721	8.870023	14
9.610159	9.851066	16
10.951111	11.537415	18
13.807166	14.370249	20
16.439728	16.933152	22
19.194195	20.259410	24
22.389841	22.880363	26
25.080454	25.666757	28
28.415420	28.949478	30
30.502313	31.587846	32
33.741497	34.821224	34
38.431927	38.661224	36
39.529070	40.106667	38
41.099320	41.586939	40
43.012063	43.261678	42
44.411066	44.907392	44
46.312200	46.802721	46
47.502222	47.746032	48
48.831565	49.464308	50
51.876281	52.453878	52
54.616236	55.109660	54
57.301043	58.282086	56
60.427029	60.946576	58
63.158277	63.753288	60
66.525170	67.062132	62
68.632381	69.703401	64
71.912200	72.986122	66
76.547483	76.802902	68
77.630113	78.027755	70
78.785306	79.275828	72
79.998549	80.248163	74
80.962177	81.185669	76
81.917098	82.619501	78
83.461224	84.047528	80
85.022766	85.263673	82
85.992200	86.262132	84
88.174875	88.761179	86
91.504036	92.017778	88
93.605442	94.696780	90
96.859138	97.869206	92
98.917007	99.593288	94
101.912381	102.167800	96
102.974694	103.494240	98
104.951293	105.479546	100
107.046893	107.589660	102
108.292063	108.550385	104
109.516916	110.033560	106
111.525442	112.065306	108
114.419229	115.586032	110
117.742585	118.230204	112
120.424490	121.010794	114
123.805896	124.078730	116
